"functional_classification","t_volume","t_sample_count","t_volume_corrected","state","start_time"
"Principal Arterial - Other Freeways and Expressways","18469","5760","18469","CO","2015-06-01"
"Local","12748","2296","12748","CO","2015-07-01"
"Major Collector","10298","2296","10298","CO","2015-07-01"
"Principal Arterial - Other","52075","11904","52075","CO","2015-07-01"
"Principal Arterial - Other Freeways and Expressways","18021","5952","18021","CO","2015-07-01"
"Local","36735","5952","36735","CO","2015-08-01"
"Major Collector","33598","5952","33598","CO","2015-08-01"
"Principal Arterial - Other","61442","11904","61442","CO","2015-08-01"
"Principal Arterial - Other Freeways and Expressways","18772","5952","18772","CO","2015-08-01"
"Local","38676","5644","38676","CO","2015-09-01"
"Major Collector","39531","5760","39531","CO","2015-09-01"
"Principal Arterial - Other","73269","11333","73269","CO","2015-09-01"
"Principal Arterial - Other Freeways and Expressways","12838","5760","12838","CO","2015-09-01"
"Local","28083","5952","28083","CO","2015-10-01"
"Major Collector","19135","4184","19135","CO","2015-10-01"
"Principal Arterial - Other","58294","11904","58294","CO","2015-10-01"
"Principal Arterial - Other Freeways and Expressways","9131","5952","9131","CO","2015-10-01"
"Local","16696","5752","16696","CO","2015-11-01"
"Major Collector","16133","5752","16133","CO","2015-11-01"
"Principal Arterial - Other","31139","11504","31139","CO","2015-11-01"
"Principal Arterial - Other Freeways and Expressways","5919","5744","5919","CO","2015-11-01"
"Local","9812","5952","9812","CO","2015-12-01"
"Major Collector","9676","5952","9676","CO","2015-12-01"
"Principal Arterial - Other","18098","11808","18098","CO","2015-12-01"
"Principal Arterial - Other Freeways and Expressways","3572","5952","3572","CO","2015-12-01"
"Local","12148","5952","12148","CO","2016-01-01"
"Major Collector","11870","5952","11870","CO","2016-01-01"
"Principal Arterial - Other","22755","11902","22755","CO","2016-01-01"
"Principal Arterial - Other Freeways and Expressways","5351","5952","5351","CO","2016-01-01"
"Local","13619","5568","13619","CO","2016-02-01"
"Major Collector","13503","5568","13503","CO","2016-02-01"
"Principal Arterial - Other","26284","11136","26284","CO","2016-02-01"
"Principal Arterial - Other Freeways and Expressways","5996","5568","5996","CO","2016-02-01"
"Local","14720","5936","14153","CO","2016-03-01"
"Major Collector","14391","5936","13932","CO","2016-03-01"
"Minor Collector","4501","5616","4268","CO","2016-03-01"
"Principal Arterial - Other","29706","11872","28843","CO","2016-03-01"
"Principal Arterial - Other Freeways and Expressways","6372","5944","5901","CO","2016-03-01"
"Local","19775","5760","19775","CO","2016-04-01"
"Major Collector","18784","5760","18784","CO","2016-04-01"
"Minor Collector","6503","5760","6503","CO","2016-04-01"
"Principal Arterial - Other","38271","11520","38271","CO","2016-04-01"
"Principal Arterial - Other Freeways and Expressways","8837","5760","8837","CO","2016-04-01"
"Local","23230","5952","23230","CO","2016-05-01"
"Major Collector","17627","5952","17627","CO","2016-05-01"
"Minor Collector","7764","5952","7764","CO","2016-05-01"
"Principal Arterial - Other","41108","11904","41108","CO","2016-05-01"
"Principal Arterial - Other Freeways and Expressways","12229","5952","12229","CO","2016-05-01"
"Local","27462","5760","27462","CO","2016-06-01"
"Major Collector","17092","5760","17092","CO","2016-06-01"
"Minor Collector","10048","5760","10048","CO","2016-06-01"
"Principal Arterial - Other","52963","11520","52963","CO","2016-06-01"
"Principal Arterial - Other Freeways and Expressways","15699","5760","15699","CO","2016-06-01"
"Local","21296","5952","21296","CO","2016-07-01"
"Major Collector","24009","5952","24009","CO","2016-07-01"
"Minor Collector","8298","5952","8298","CO","2016-07-01"
"Principal Arterial - Other","52284","11904","52284","CO","2016-07-01"
"Principal Arterial - Other Freeways and Expressways","14622","5952","14622","CO","2016-07-01"
"Local","22966","5952","22966","CO","2016-08-01"
"Major Collector","28142","5952","28142","CO","2016-08-01"
"Minor Collector","9376","5952","9376","CO","2016-08-01"
"Principal Arterial - Other","58291","11904","58291","CO","2016-08-01"
"Principal Arterial - Other Freeways and Expressways","14712","5952","14712","CO","2016-08-01"
"Local","21439","5760","21439","CO","2016-09-01"
"Major Collector","31438","5760","31438","CO","2016-09-01"
"Minor Collector","9047","5760","9047","CO","2016-09-01"
"Principal Arterial - Other","65853","11520","65853","CO","2016-09-01"
"Principal Arterial - Other Freeways and Expressways","10687","5760","10687","CO","2016-09-01"
"Local","19324","5952","19324","CO","2016-10-01"
"Major Collector","27223","5952","27223","CO","2016-10-01"
"Minor Collector","7866","5952","7866","CO","2016-10-01"
"Principal Arterial - Other","55937","11904","55937","CO","2016-10-01"
"Principal Arterial - Other Freeways and Expressways","7950","5952","7950","CO","2016-10-01"
"Local","12571","5752","12571","CO","2016-11-01"
"Major Collector","19855","5752","19855","CO","2016-11-01"
"Minor Collector","5718","5752","5718","CO","2016-11-01"
"Principal Arterial - Other","39486","11504","39486","CO","2016-11-01"
"Principal Arterial - Other Freeways and Expressways","6051","5744","6051","CO","2016-11-01"
"Local","4767","5952","4767","CO","2016-12-01"
"Major Collector","9234","5952","9234","CO","2016-12-01"
"Minor Collector","2147","5952","2147","CO","2016-12-01"
"Principal Arterial - Other","15276","11904","15276","CO","2016-12-01"
"Principal Arterial - Other Freeways and Expressways","3000","5952","3000","CO","2016-12-01"
"Local","8808","5952","8808","CO","2017-01-01"
"Major Collector","10918","5952","10918","CO","2017-01-01"
"Minor Collector","2934","5952","2934","CO","2017-01-01"
"Principal Arterial - Other","17620","11160","17620","CO","2017-01-01"
"Principal Arterial - Other Freeways and Expressways","3728","5952","3728","CO","2017-01-01"
"Local","14301","5376","14301","CO","2017-02-01"
"Major Collector","13336","5376","13336","CO","2017-02-01"
"Minor Collector","4366","5376","4366","CO","2017-02-01"
"Principal Arterial - Other","26493","10656","26493","CO","2017-02-01"
"Principal Arterial - Other Freeways and Expressways","4758","5376","4758","CO","2017-02-01"
"Local","26055","5904","25333","CO","2017-03-01"
"Major Collector","17648","5904","17360","CO","2017-03-01"
"Minor Collector","6161","5904","6034","CO","2017-03-01"
"Principal Arterial - Other","36866","11808","36336","CO","2017-03-01"
"Principal Arterial - Other Freeways and Expressways","7145","5944","7046","CO","2017-03-01"
"Local","26836","5528","26836","CO","2017-04-01"
"Major Collector","18468","5520","18468","CO","2017-04-01"
"Minor Collector","6405","5528","6405","CO","2017-04-01"
"Principal Arterial - Other","38748","11048","38748","CO","2017-04-01"
"Principal Arterial - Other Freeways and Expressways","8290","5760","8290","CO","2017-04-01"
"Local","27586","5712","27586","CO","2017-05-01"
"Major Collector","18542","5712","18542","CO","2017-05-01"
"Minor Collector","6858","5604","6858","CO","2017-05-01"
"Principal Arterial - Other","39974","11432","39974","CO","2017-05-01"
"Principal Arterial - Other Freeways and Expressways","10937","5952","10937","CO","2017-05-01"
"Local","30323","5672","30323","CO","2017-06-01"
"Major Collector","23602","5672","23602","CO","2017-06-01"
"Minor Collector","8671","5672","8671","CO","2017-06-01"
"Principal Arterial - Other","50615","11348","50615","CO","2017-06-01"
"Principal Arterial - Other Freeways and Expressways","14467","5760","14467","CO","2017-06-01"
"Local","28331","5952","28331","CO","2017-07-01"
"Major Collector","22090","5952","22090","CO","2017-07-01"
"Minor Collector","8748","5952","8748","CO","2017-07-01"
"Principal Arterial - Other","45592","11144","45592","CO","2017-07-01"
"Principal Arterial - Other Freeways and Expressways","13596","5952","13596","CO","2017-07-01"
"Local","29838","5936","29838","CO","2017-08-01"
"Major Collector","23931","5936","23931","CO","2017-08-01"
"Minor Collector","9167","5936","9167","CO","2017-08-01"
"Principal Arterial - Other","25184","5936","25184","CO","2017-08-01"
"Principal Arterial - Other Freeways and Expressways","12497","5952","12497","CO","2017-08-01"
"Local","33900","5584","33900","CO","2017-09-01"
"Major Collector","28231","5572","28231","CO","2017-09-01"
"Minor Collector","9275","5584","9275","CO","2017-09-01"
"Principal Arterial - Other","24272","5584","24272","CO","2017-09-01"
"Principal Arterial - Other Freeways and Expressways","9093","5760","9093","CO","2017-09-01"
"Local","41180","5728","41180","CO","2017-10-01"
"Major Collector","22566","5716","22566","CO","2017-10-01"
"Minor Collector","7232","5728","7232","CO","2017-10-01"
"Principal Arterial - Other","18571","5760","18571","CO","2017-10-01"
"Principal Arterial - Other Freeways and Expressways","6411","5952","6411","CO","2017-10-01"
"Local","34062","5680","34062","CO","2017-11-01"
"Major Collector","16891","5672","16891","CO","2017-11-01"
"Minor Collector","5215","5680","5215","CO","2017-11-01"
"Principal Arterial - Other","14402","5676","14402","CO","2017-11-01"
"Principal Arterial - Other Freeways and Expressways","4929","5744","4929","CO","2017-11-01"
"Local","17087","5952","17087","CO","2017-12-01"
"Major Collector","12238","5952","12238","CO","2017-12-01"
"Minor Collector","3555","5952","3555","CO","2017-12-01"
"Principal Arterial - Other","12701","8600","12701","CO","2017-12-01"
"Principal Arterial - Other Freeways and Expressways","3966","5952","3966","CO","2017-12-01"
"Local","16700","5952","16700","CO","2018-01-01"
"Major Collector","11310","5952","11310","CO","2018-01-01"
"Minor Collector","3699","5952","3699","CO","2018-01-01"
"Principal Arterial - Other","18939","11904","18939","CO","2018-01-01"
"Principal Arterial - Other Freeways and Expressways","4196","5952","4196","CO","2018-01-01"
"Local","21746","5376","21746","CO","2018-02-01"
"Major Collector","9541","5312","9541","CO","2018-02-01"
"Minor Collector","2874","5376","2874","CO","2018-02-01"
"Principal Arterial - Other","17323","10720","17323","CO","2018-02-01"
"Principal Arterial - Other Freeways and Expressways","2646","5376","2646","CO","2018-02-01"
"Local","28249","5872","27536","CO","2018-03-01"
"Major Collector","15248","5872","14919","CO","2018-03-01"
"Minor Collector","5175","5872","5060","CO","2018-03-01"
"Principal Arterial - Other","27329","11744","26732","CO","2018-03-01"
"Principal Arterial - Other Freeways and Expressways","6239","5944","5974","CO","2018-03-01"
"Local","34047","5760","34047","CO","2018-04-01"
"Major Collector","17073","5760","17073","CO","2018-04-01"
"Minor Collector","5877","5760","5877","CO","2018-04-01"
"Principal Arterial - Other","31796","11520","31796","CO","2018-04-01"
"Principal Arterial - Other Freeways and Expressways","5181","5760","5181","CO","2018-04-01"
"Local","25146","5952","25146","CO","2018-05-01"
"Major Collector","18245","5952","18245","CO","2018-05-01"
"Minor Collector","6905","5933","6905","CO","2018-05-01"
"Principal Arterial - Other","36945","11904","36945","CO","2018-05-01"
"Principal Arterial - Other Freeways and Expressways","425","5952","425","CO","2018-05-01"
"Local","26151","5760","26151","CO","2018-06-01"
"Major Collector","20720","5760","20720","CO","2018-06-01"
"Minor Collector","7744","5701","7744","CO","2018-06-01"
"Principal Arterial - Other","41034","11520","41034","CO","2018-06-01"
"Principal Arterial - Other Freeways and Expressways","0","5760","0","CO","2018-06-01"
"Local","27278","5952","27278","CO","2018-07-01"
"Major Collector","21080","5952","21080","CO","2018-07-01"
"Minor Collector","8097","5952","8097","CO","2018-07-01"
"Principal Arterial - Other","42204","11904","42204","CO","2018-07-01"
"Principal Arterial - Other Freeways and Expressways","13","5952","13","CO","2018-07-01"
"Local","29916","5952","29916","CO","2018-08-01"
"Major Collector","24068","5952","24068","CO","2018-08-01"
"Minor Collector","9283","5952","9283","CO","2018-08-01"
"Principal Arterial - Other","49300","11904","49300","CO","2018-08-01"
"Principal Arterial - Other Freeways and Expressways","0","5952","0","CO","2018-08-01"
"Local","31298","5760","31298","CO","2018-09-01"
"Major Collector","29047","5760","29047","CO","2018-09-01"
"Minor Collector","8917","5760","8917","CO","2018-09-01"
"Principal Arterial - Other","57182","11520","57182","CO","2018-09-01"
"Principal Arterial - Other Freeways and Expressways","0","5760","0","CO","2018-09-01"
"Local","22815","5952","22815","CO","2018-10-01"
"Major Collector","21513","5952","21513","CO","2018-10-01"
"Minor Collector","6657","5952","6657","CO","2018-10-01"
"Principal Arterial - Other","44521","11904","44521","CO","2018-10-01"
"Principal Arterial - Other Freeways and Expressways","0","5952","0","CO","2018-10-01"
"Local","14477","5744","14477","CO","2018-11-01"
"Major Collector","13506","5744","13506","CO","2018-11-01"
"Minor Collector","4210","5744","4210","CO","2018-11-01"
"Principal Arterial - Other","27581","11488","27581","CO","2018-11-01"
"Principal Arterial - Other Freeways and Expressways","0","5744","0","CO","2018-11-01"
"Local","11338","5952","11338","CO","2018-12-01"
"Major Collector","10294","5952","10294","CO","2018-12-01"
"Minor Collector","3292","5952","3292","CO","2018-12-01"
"Principal Arterial - Other","19282","11904","19282","CO","2018-12-01"
"Principal Arterial - Other Freeways and Expressways","0","5952","0","CO","2018-12-01"
"Local","10154","5952","10154","CO","2019-01-01"
"Major Collector","9488","5952","9488","CO","2019-01-01"
"Minor Collector","3151","5952","3151","CO","2019-01-01"
"Principal Arterial - Other","18937","11904","18937","CO","2019-01-01"
"Principal Arterial - Other Freeways and Expressways","0","5952","0","CO","2019-01-01"
"Local","9114","5376","9114","CO","2019-02-01"
"Major Collector","8773","5376","8773","CO","2019-02-01"
"Minor Collector","2807","5376","2807","CO","2019-02-01"
"Principal Arterial - Other","18222","10752","18222","CO","2019-02-01"
"Principal Arterial - Other Freeways and Expressways","0","5376","0","CO","2019-02-01"
"Local","12086","5944","11764","CO","2019-03-01"
"Major Collector","10644","5944","10390","CO","2019-03-01"
"Minor Collector","3620","5944","3522","CO","2019-03-01"
"Principal Arterial - Other","22553","11888","21724","CO","2019-03-01"
"Principal Arterial - Other Freeways and Expressways","0","5944","0","CO","2019-03-01"
"Local","19405","5760","19405","CO","2019-04-01"
"Major Collector","16731","5760","16731","CO","2019-04-01"
"Minor Collector","5536","5760","5536","CO","2019-04-01"
"Principal Arterial - Other","35022","11520","35022","CO","2019-04-01"
"Principal Arterial - Other Freeways and Expressways","0","5760","0","CO","2019-04-01"
"Local","18198","5720","18198","CO","2019-05-01"
"Major Collector","13556","5952","13556","CO","2019-05-01"
"Minor Collector","4982","5952","4982","CO","2019-05-01"
"Principal Arterial - Other","31118","11904","31118","CO","2019-05-01"
"Principal Arterial - Other Freeways and Expressways","0","5952","0","CO","2019-05-01"
"Local","24485","5760","24485","CO","2019-06-01"
"Major Collector","16846","5760","16846","CO","2019-06-01"
"Minor Collector","7132","5760","7132","CO","2019-06-01"
"Principal Arterial - Other","57760","10752","57760","CO","2019-06-01"
"Principal Arterial - Other Freeways and Expressways","3","5760","3","CO","2019-06-01"
"Local","26213","5952","26213","CO","2019-07-01"
"Major Collector","19399","5952","19399","CO","2019-07-01"
"Minor Collector","7793","5952","7793","CO","2019-07-01"
"Principal Arterial - Other","16767","5952","16767","CO","2019-07-01"
"Principal Arterial - Other Freeways and Expressways","0","5952","0","CO","2019-07-01"
"Local","27402","5952","27402","CO","2019-08-01"
"Major Collector","21342","5952","21342","CO","2019-08-01"
"Minor Collector","8824","5952","8824","CO","2019-08-01"
"Principal Arterial - Other","19945","5952","19945","CO","2019-08-01"
"Principal Arterial - Other Freeways and Expressways","7200","5876","7200","CO","2019-08-01"
"Local","29221","5760","29221","CO","2019-09-01"
"Major Collector","27324","5760","27324","CO","2019-09-01"
"Minor Collector","9037","5760","9037","CO","2019-09-01"
"Principal Arterial - Other","52099","11052","52099","CO","2019-09-01"
"Principal Arterial - Other Freeways and Expressways","9888","5760","9888","CO","2019-09-01"
"Local","18988","5952","18988","CO","2019-10-01"
"Major Collector","18166","5952","18166","CO","2019-10-01"
"Minor Collector","5826","5952","5826","CO","2019-10-01"
"Principal Arterial - Other","33504","11904","33504","CO","2019-10-01"
"Principal Arterial - Other Freeways and Expressways","5156","5952","5156","CO","2019-10-01"
"Local","12087","5436","12087","CO","2019-11-01"
"Major Collector","11271","5744","11271","CO","2019-11-01"
"Minor Collector","4187","5744","4187","CO","2019-11-01"
"Principal Arterial - Other","22111","11488","22111","CO","2019-11-01"
"Principal Arterial - Other Freeways and Expressways","4412","5744","4412","CO","2019-11-01"
"Local","13702","5952","13702","CO","2019-12-01"
"Major Collector","6364","5952","6364","CO","2019-12-01"
"Minor Collector","2815","5952","2815","CO","2019-12-01"
"Principal Arterial - Other","12690","11904","12690","CO","2019-12-01"
"Principal Arterial - Other Freeways and Expressways","3302","5952","3302","CO","2019-12-01"
"Local","13079","5836","13079","CO","2020-01-01"
"Major Collector","11895","5952","11895","CO","2020-01-01"
"Minor Collector","4317","5952","4317","CO","2020-01-01"
"Principal Arterial - Other","21950","11904","21950","CO","2020-01-01"
"Principal Arterial - Other Freeways and Expressways","4000","5952","4000","CO","2020-01-01"
"Local","7458","5568","7458","CO","2020-02-01"
"Major Collector","7094","5568","7094","CO","2020-02-01"
"Minor Collector","3046","5568","3046","CO","2020-02-01"
"Principal Arterial - Other","12211","11136","12211","CO","2020-02-01"
"Principal Arterial - Other Freeways and Expressways","3193","5568","3193","CO","2020-02-01"
"Local","12338","5944","11799","CO","2020-03-01"
"Major Collector","9630","5944","9283","CO","2020-03-01"
"Minor Collector","4962","5944","4749","CO","2020-03-01"
"Principal Arterial - Other","18215","11888","17525","CO","2020-03-01"
"Principal Arterial - Other Freeways and Expressways","6279","5944","6023","CO","2020-03-01"
"Local","10207","5760","10207","CO","2020-04-01"
"Major Collector","7258","5760","7258","CO","2020-04-01"
"Minor Collector","5559","5760","5559","CO","2020-04-01"
"Principal Arterial - Other","13450","11520","13450","CO","2020-04-01"
"Principal Arterial - Other Freeways and Expressways","9553","5760","9553","CO","2020-04-01"
"Local","14097","5720","14097","CO","2020-05-01"
"Major Collector","10819","5952","10819","CO","2020-05-01"
"Minor Collector","7398","5952","7398","CO","2020-05-01"
"Principal Arterial - Other","19974","11904","19974","CO","2020-05-01"
"Principal Arterial - Other Freeways and Expressways","10976","5952","10976","CO","2020-05-01"
"Local","15428","5548","15428","CO","2020-06-01"
"Major Collector","12081","5760","12081","CO","2020-06-01"
"Minor Collector","7490","5760","7490","CO","2020-06-01"
"Principal Arterial - Other","23561","11520","23561","CO","2020-06-01"
"Principal Arterial - Other Freeways and Expressways","12748","5760","12748","CO","2020-06-01"
"Local","11844","4300","11844","CO","2020-07-01"
"Major Collector","12539","5952","12539","CO","2020-07-01"
"Minor Collector","7622","5952","7622","CO","2020-07-01"
"Principal Arterial - Other","24396","11904","24396","CO","2020-07-01"
"Principal Arterial - Other Freeways and Expressways","12554","5952","12554","CO","2020-07-01"
"Local","14755","5316","14755","CO","2020-08-01"
"Major Collector","13309","5952","13309","CO","2020-08-01"
"Minor Collector","7807","5952","7807","CO","2020-08-01"
"Principal Arterial - Other","27356","11904","27356","CO","2020-08-01"
"Principal Arterial - Other Freeways and Expressways","11182","5952","11182","CO","2020-08-01"
"Local","9687","3532","9687","CO","2020-09-01"
"Major Collector","12665","5760","12665","CO","2020-09-01"
"Minor Collector","6577","5760","6577","CO","2020-09-01"
"Principal Arterial - Other","25374","11520","25374","CO","2020-09-01"
"Principal Arterial - Other Freeways and Expressways","4753","2810","4753","CO","2020-09-01"
"Local","9233","3760","9233","CO","2020-10-01"
"Major Collector","9779","5952","9779","CO","2020-10-01"
"Minor Collector","5019","5952","5019","CO","2020-10-01"
"Principal Arterial - Other","18371","11904","18371","CO","2020-10-01"
"Principal Arterial - Other Freeways and Expressways","6123","5952","6123","CO","2020-10-01"
"Local","8147","5528","8145","CO","2020-11-01"
"Major Collector","7352","5752","7348","CO","2020-11-01"
"Minor Collector","3948","5752","3946","CO","2020-11-01"
"Principal Arterial - Other","11982","11504","11972","CO","2020-11-01"
"Principal Arterial - Other Freeways and Expressways","6341","5752","6341","CO","2020-11-01"
"Local","5096","5836","5096","CO","2020-12-01"
"Major Collector","3937","5836","3937","CO","2020-12-01"
"Minor Collector","2442","5952","2442","CO","2020-12-01"
"Principal Arterial - Other","6000","11904","6000","CO","2020-12-01"
"Principal Arterial - Other Freeways and Expressways","4259","5952","4259","CO","2020-12-01"
"Local","6075","5952","6075","CO","2021-01-01"
"Major Collector","5074","5952","5074","CO","2021-01-01"
"Minor Collector","1848","4512","1848","CO","2021-01-01"
"Principal Arterial - Other","6757","11904","6757","CO","2021-01-01"
"Principal Arterial - Other Freeways and Expressways","4451","5952","4451","CO","2021-01-01"
"Local","4054","5260","4054","CO","2021-02-01"
"Major Collector","3673","5376","3673","CO","2021-02-01"
"Minor Collector","471","1208","471","CO","2021-02-01"
"Principal Arterial - Other","4776","10752","4776","CO","2021-02-01"
"Principal Arterial - Other Freeways and Expressways","2358","5376","2358","CO","2021-02-01"
"Local","7801","5828","7799","CO","2021-03-01"
"Major Collector","6158","5944","6158","CO","2021-03-01"
"Minor Collector","3159","5944","3156","CO","2021-03-01"
"Principal Arterial - Other","9121","11888","9108","CO","2021-03-01"
"Principal Arterial - Other Freeways and Expressways","4963","5944","4958","CO","2021-03-01"
"Local","9940","5760","9940","CO","2021-04-01"
"Major Collector","7881","5760","7881","CO","2021-04-01"
"Minor Collector","3915","5760","3915","CO","2021-04-01"
"Principal Arterial - Other","12102","11520","12102","CO","2021-04-01"
"Principal Arterial - Other Freeways and Expressways","6967","5760","6967","CO","2021-04-01"
"Local","11809","5952","11809","CO","2021-05-01"
"Major Collector","8976","5952","8976","CO","2021-05-01"
"Minor Collector","4779","5952","4779","CO","2021-05-01"
"Principal Arterial - Other","13131","11904","13131","CO","2021-05-01"
"Principal Arterial - Other Freeways and Expressways","8976","5952","8976","CO","2021-05-01"
"Local","15017","5528","15017","CO","2021-06-01"
"Major Collector","12643","5760","12643","CO","2021-06-01"
"Minor Collector","5661","5760","5661","CO","2021-06-01"
"Principal Arterial - Other","20711","11520","20711","CO","2021-06-01"
"Principal Arterial - Other Freeways and Expressways","9553","5760","9553","CO","2021-06-01"
"Local","15722","5952","15722","CO","2021-07-01"
"Major Collector","12596","5952","12596","CO","2021-07-01"
"Minor Collector","5639","5952","5639","CO","2021-07-01"
"Principal Arterial - Other","18262","11904","18262","CO","2021-07-01"
"Principal Arterial - Other Freeways and Expressways","7785","5952","7785","CO","2021-07-01"
"Local","4924","5952","4924","CO","2021-08-01"
"Major Collector","9903","5952","9903","CO","2021-08-01"
"Minor Collector","6381","5952","6381","CO","2021-08-01"
"Principal Arterial - Other","14188","6720","14188","CO","2021-08-01"
"Principal Arterial - Other Freeways and Expressways","7478","5952","7478","CO","2021-08-01"
"Local","20618","5760","20618","CO","2021-09-01"
"Major Collector","15559","5760","15559","CO","2021-09-01"
"Minor Collector","7388","5760","7388","CO","2021-09-01"
"Principal Arterial - Other","18895","5760","18895","CO","2021-09-01"
"Principal Arterial - Other Freeways and Expressways","6510","5760","6510","CO","2021-09-01"
"Local","16087","5624","16087","CO","2021-10-01"
"Major Collector","15972","5952","15972","CO","2021-10-01"
"Minor Collector","6107","5952","6107","CO","2021-10-01"
"Principal Arterial - Other","17322","5952","17322","CO","2021-10-01"
"Principal Arterial - Other Freeways and Expressways","4855","5952","4855","CO","2021-10-01"
"Local","11510","5752","11504","CO","2021-11-01"
"Major Collector","10799","5752","10794","CO","2021-11-01"
"Minor Collector","4216","5752","4213","CO","2021-11-01"
"Principal Arterial - Other","11935","5752","11932","CO","2021-11-01"
"Principal Arterial - Other Freeways and Expressways","2408","4706","2408","CO","2021-11-01"
"Local","8098","5836","8098","CO","2021-12-01"
"Major Collector","5871","5952","5871","CO","2021-12-01"
"Minor Collector","2676","5952","2676","CO","2021-12-01"
"Principal Arterial - Other","6635","5952","6635","CO","2021-12-01"
"Principal Arterial - Other Freeways and Expressways","2519","5952","2519","CO","2021-12-01"
"Local","4286","5952","4286","CO","2022-01-01"
"Major Collector","4132","5952","4132","CO","2022-01-01"
"Minor Collector","1819","5836","1819","CO","2022-01-01"
"Principal Arterial - Other","3329","5952","3329","CO","2022-01-01"
"Principal Arterial - Other Freeways and Expressways","2283","5952","2283","CO","2022-01-01"
"Local","5388","5376","5388","CO","2022-02-01"
"Major Collector","5689","5376","5689","CO","2022-02-01"
"Minor Collector","1842","5376","1842","CO","2022-02-01"
"Principal Arterial - Other","4421","5376","4421","CO","2022-02-01"
"Principal Arterial - Other Freeways and Expressways","2194","5376","2194","CO","2022-02-01"
"Local","9467","5936","9100","CO","2022-03-01"
"Major Collector","7595","5936","7358","CO","2022-03-01"
"Minor Collector","3046","5936","2914","CO","2022-03-01"
"Principal Arterial - Other","7673","5936","7451","CO","2022-03-01"
"Principal Arterial - Other Freeways and Expressways","3537","5936","3313","CO","2022-03-01"
"Local","13734","5760","13734","CO","2022-04-01"
"Major Collector","11463","5760","11463","CO","2022-04-01"
"Minor Collector","3892","5760","3892","CO","2022-04-01"
"Principal Arterial - Other","10461","5280","10461","CO","2022-04-01"
"Principal Arterial - Other Freeways and Expressways","3810","5760","3810","CO","2022-04-01"
"Local","14461","5952","14461","CO","2022-05-01"
"Major Collector","10231","5952","10231","CO","2022-05-01"
"Minor Collector","4119","5952","4119","CO","2022-05-01"
"Principal Arterial - Other","4326","2976","4326","CO","2022-05-01"
"Principal Arterial - Other Freeways and Expressways","4977","5952","4977","CO","2022-05-01"
"Local","17655","5644","17655","CO","2022-06-01"
"Major Collector","13000","5760","13000","CO","2022-06-01"
"Minor Collector","5208","5760","5208","CO","2022-06-01"
"Principal Arterial - Other","5063","2880","5063","CO","2022-06-01"
"Principal Arterial - Other Freeways and Expressways","6554","5758","6554","CO","2022-06-01"
"Local","17501","5836","17501","CO","2022-07-01"
"Major Collector","12193","5952","12193","CO","2022-07-01"
"Minor Collector","5478","5952","5478","CO","2022-07-01"
"Principal Arterial - Other","4964","2976","4964","CO","2022-07-01"
"Principal Arterial - Other Freeways and Expressways","6961","5952","6961","CO","2022-07-01"
"Local","20149","5836","20149","CO","2022-08-01"
"Major Collector","16181","5952","16181","CO","2022-08-01"
"Minor Collector","6348","5952","6348","CO","2022-08-01"
"Principal Arterial - Other","7985","2976","7985","CO","2022-08-01"
"Principal Arterial - Other Freeways and Expressways","7194","5952","7194","CO","2022-08-01"
"Local","21162","5760","21162","CO","2022-09-01"
"Major Collector","19557","5760","19557","CO","2022-09-01"
"Minor Collector","6728","5760","6728","CO","2022-09-01"
"Principal Arterial - Other","10662","2880","10662","CO","2022-09-01"
"Principal Arterial - Other Freeways and Expressways","5983","5760","5983","CO","2022-09-01"
"Local","13368","3609","13368","CO","2022-10-01"
"Major Collector","16444","4730","16444","CO","2022-10-01"
"Minor Collector","5808","5068","5808","CO","2022-10-01"
"Principal Arterial - Other","10291","2524","10291","CO","2022-10-01"
"Principal Arterial - Other Freeways and Expressways","4376","5952","4376","CO","2022-10-01"
"Local","7819","1438","7818","CO","2022-11-01"
"Major Collector","7697","1437","7696","CO","2022-11-01"
"Minor Collector","2620","1411","2620","CO","2022-11-01"
"Principal Arterial - Other","8566","1438","8563","CO","2022-11-01"
"Principal Arterial - Other Freeways and Expressways","2836","5752","2836","CO","2022-11-01"
"Local","5470","1488","5470","CO","2022-12-01"
"Major Collector","5481","1488","5481","CO","2022-12-01"
"Minor Collector","1914","1488","1914","CO","2022-12-01"
"Principal Arterial - Other","5124","1488","5124","CO","2022-12-01"
"Principal Arterial - Other Freeways and Expressways","2141","5688","2141","CO","2022-12-01"
"Local","3615","1488","3615","CO","2023-01-01"
"Major Collector","3547","1488","3547","CO","2023-01-01"
"Minor Collector","1533","1488","1533","CO","2023-01-01"
"Principal Arterial - Other","3788","1488","3788","CO","2023-01-01"
"Principal Arterial - Other Freeways and Expressways","879","4111","879","CO","2023-01-01"
"Local","6897","1344","6897","CO","2023-02-01"
"Major Collector","7361","1344","7361","CO","2023-02-01"
"Minor Collector","2451","1317","2451","CO","2023-02-01"
"Principal Arterial - Other","7440","1344","7440","CO","2023-02-01"
"Principal Arterial - Other Freeways and Expressways","2849","948","2849","CO","2023-02-01"
"Local","8783","1440","8783","CO","2023-03-01"
"Major Collector","8118","1440","8118","CO","2023-03-01"
"Minor Collector","2862","1386","2862","CO","2023-03-01"
"Principal Arterial - Other","8519","1440","8519","CO","2023-03-01"
"Principal Arterial - Other Freeways and Expressways","1345","476","1345","CO","2023-03-01"
"Local","13380","1415","13380","CO","2023-04-01"
